han,bs,pinyin,middle_chinese,gloss
稚,lrəjs,zhì,drijH,young
稺,lrəjs,zhì,drijH,late-sown grain
豸,dreʔ,zhì,drjeX,"bug, wug"
滯,drats,zhì,drjejH,obstruct
彘,lrats,zhì,drjejH,pig
置,trəks,zhì,triH,"put, place; set upright"
疐,t-lrits,zhì,trijH,slip (v.)
質,trips,zhì,trijH,hostage; gift
致,trits,zhì,trijH,(cause to arrive): transmit
陟,trək,zhì,trik,ascend
窒,trit,zhì,trit,stop up (v.)
智,tres,zhì,trjeH,knowledge
楖,tsrik,zhì,tsrit,comb
志,təs,zhì,tsyiH,"goal, intention, aspiration"
識,təks,zhì,tsyiH,"remember, commemorate"
誌,təks,zhì,tsyiH,record (n.?)
摯,tips,zhì,tsyijH,seize
鷙,tips,zhì,tsyijH,bird of prey
至,tits,zhì,tsyijH,arrive
質,t-lit,zhì,tsyit,"substance, solid part"
炙,tAks,zhì,tsyaeH,"roast, broil"
寘,kes,zhì,tsyeH,to place
示,kes,zhì,tsyeH,put (= 寘)
瘈,kets,zhì,tsyejH,mad (dog)
狾,kets,zhì,tsyejH,mad (dog)
制,tets,zhì,tsyejH,"cut out, prepare"
製,tets,zhì,tsyejH,cut out (a garment)
炙,tAk,zhì,tsyek,"roast, broil"
潨,N-s-tˤuŋ,zhōng,dzowng,junction of two rivers
中,truŋ,zhōng,trjuwng,center
忠,truŋ,zhōng,trjuwng,loyal
妐,t-qoŋ,zhōng,tsyowng,father-in-law
鍾,toŋ,zhōng,tsyowng,accumulate; repeat
鍾,toŋ,zhōng,tsyowng,bell; wine vessel; an ancient measure
鐘,toŋ,zhōng,tsyowng,bell
終,tuŋ,zhōng,tsyuwng,end
螽,tuŋ,zhōng,tsyuwng,tsyuwng.sje locust
潨,tuŋ,zhōng,tsyuwng,junction of two rivers
冢,troŋʔ,zhǒng,trjowngX,tomb mound
種,k.toŋʔ,zhǒng,tsyowngX,seed
腫,toŋʔ,zhǒng,tsyowngX,"swell, swollen; tumor"
重,N-troŋʔ,zhòng,drjowngX,heavy
重,N-troŋʔ-s,zhòng,drjowngH,weight (n.)
仲,N-truŋs,zhòng,drjuwngH,middle (of brothers)
中,truŋs,zhòng,trjuwngH,hit the center
種,mə.toŋʔ-s,zhòng,tsyowngH,sow (v.)
眾,tuŋs,zhòng,tsyuwngH,numerous
周,tiw,zhōu,tsyuw,Zhōu (dynasty and place)
周,tiw,zhōu,tsyuw,cycle; all around
舟,tu,zhōu,tsyuw,boat
州,tu,zhōu,tsyuw,islet in stream; province
洲,tu,zhōu,tsyuw,islet
粥,t-quk,zhōu,tsyuwk,gruel
鬻,t-quk,zhōu,tsyuwk,rice gruel
軸,lruk,zhóu,drjuwk,wheel-axle
疛,truʔ,zhǒu,trjuwX,pain in the intestines
肘,t-kruʔ,zhǒu,trjuwX,elbow
帚,t.pəʔ,zhǒu,tsyuwX,broom
箒,t.pəʔ,zhǒu,tsyuwX,broom
紂,druʔ,zhòu,drjuwX,leather belt used on the rump of a horse hitched to a cart; name of last Shāng ruler
酎,druʔ,zhòu,drjuwX,new spirits made to ferment by addition of older spirits
冑,lrus,zhòu,drjuwH,helmet
驟,N-tsˤroʔ-s,zhòu,dzrjuwH,fast-running
騶,m-tsˤroks,zhòu,dzrjuwH,to run
晝,truks,zhòu,trjuwH,daytime
咮,tˤroks,zhòu,trjuwH,beak
皺,tsˤros,zhòu,tsrjuwH,wrinkles
縐,tsˤros,zhòu,tsrjuwH,wrinkles
祝,tuks,zhòu,tsyuwH,to curse
豬,tra,zhū,trjo,pig
株,tro,zhū,trju,"tree root, stem"
蛛,tro,zhū,trju,*tre-tro spider
誅,tro,zhū,trju,punish; kill
邾,tro,zhū,trju,(place name)
諸,ta,zhū,tsyo,many
諸,ta,zhū,tsyo,(fusion of 之 + 於 *tə ʔa)
朱,to,zhū,tsyu,dwarf
朱,to,zhū,tsyu,red
侏,to,zhū,tsyu,侏儒 zhūrú 'dwarf'
逐,lriwk,zhú,drjuwk,pursue
瘃,trok,zhú,trjowk,chilblain
竹,truk,zhú,trjuwk,bamboo
燭,tok,zhú,tsyowk,torch
朮,m.lut,zhú,zywit,glutinous millet
褚,traʔ,zhǔ,trjoX,"to store, to heap"
拄,troʔ,zhǔ,trjuX,"prop up, support (v.)"
壴,troʔ-s,zhǔ,trjuH,stand for musical instruments
煑,taʔ,zhǔ,tsyoX,"boil, cook"
煮,taʔ,zhǔ,tsyoX,"boil, cook"
䰞,taʔ,zhǔ,tsyoX,"boil, cook"
渚,taʔ,zhǔ,tsyoX,islet
陼,taʔ,zhǔ,tsyoX,islet
屬,tok,zhǔ,tsyowk,attach (v.t.)
斗,toʔ,zhǔ,tsyuX,ladle
主,toʔ,zhǔ,tsyuX,master; host
竚,m-traʔ,zhù,drjoX,stand for a long time
紵,mə.draʔ,zhù,drjoX,ramie; flax
箸,draks,zhù,drjoH,chopsticks
除,lras,zhù,drjoH,pass away
柱,m-troʔ,zhù,drjuX,pillar
住,droʔ-s,zhù,drjuH,stop (v.)
助,dzras,zhù,dzrjoH,help (v.)
著,traks,zhù,trjoH,place (n.); visible
注,troʔ-s,zhù,trjuH,to conduct water
築,truk,zhù,trjuwk,"pound earth, build"
馵,toks,zhù,tsyuH,horse with white left hind leg
鑄,tus,zhù,tsyuH,to cast (a bronze vessel)
祝,tuk,zhù,tsyuwk,"pray, recite"
祝,tuk,zhù,tsyuwk,"cut off, break"
抓,tsˤru,zhuā,tsraew,grasp
抓,tsˤruʔ,zhuā,tsraewX,grasp
髽,tsˤroj,zhuā,tsrwae,hair knot for mourning
專,ton,zhuān,tsywen,exclusively
轉,mə.tronʔ,zhuǎn,trjwenX,"turn around, transfer"
轉,tronʔ,zhuǎn,trjwenX,"輾轉 toss and turn ((Ode 1.2, 145.3)"
傳,N-trons,zhuàn,drjwenH,what has been transmitted
撰,dzronʔ,zhuàn,dzrjwenX,"create, invent"
傳,trons,zhuàn,trjwenH,relay post
妝,tsraŋ,zhuāng,tsrjang,adorn (Shuōwén)
莊,tsraŋ,zhuāng,tsrjang,"dignified, grave"
撞,N-tˤroŋs,zhuàng,draewngH,strike
狀,dzraŋs,zhuàng,dzrjangH,"form, appearance"
壯,tsraŋs,zhuàng,tsrjangH,robust
追,truj,zhuī,trwij,pursue
隹,tur,zhuī,tsywij,a kind of bird
沝,turʔ,zhuǐ,tsywijX,water (Min form)
隊,m.lruts,zhuì,drwijH,"fall down, throw down"
墜,m.lruts,zhuì,drwijH,fall down
屯,trun,zhūn,trwin,difficult
淳,tur,zhūn,tsywin,moisten
淳,turʔ,zhǔn,tsywinX,measure of breadth (of cloth)
準,turʔ,zhǔn,tsywinX,water-level
桌,tˤrawk,zhuō,traewk,table
卓,tˤrawk,zhuō,traewk,high; splendid
捉,tsˤrok,zhuō,tsraewk,grasp (v.)
拙,tot,zhuō,tsywet,"stupid, inept"
濁,N-tˤrok,zhuó,draewk,muddy
擢,lˤrewk,zhuó,draewk,"pull out, select"
濯,lˤrewk,zhuó,draewk,wash
著,m-trak,zhuó,drjak,put on clothes; be attached
躅,drok,zhuó,drjowk,躑躅 stamp the feet
斲,Cə.tˤrok,zhuó,traewk,"chop, cleave"
啄,mə.tˤrok,zhuó,traewk,to peck
著,trak,zhuó,trjak,to place
叕,trots,zhuó,trjwejH,stitch (n.?)
叕,trot,zhuó,trjwet,stitch
斮,tsrak,zhuó,tsraewk,to cut off
斮,tsrak,zhuó,tsrjak,to cut off
茁,s-krot,zhuó,tsrjwet,sprout (v.)
茁,s-krot,zhuó,tsrweat,sprout (v.)
繳,tewk,zhuó,tsyak,string attached to arrow
斫,tak,zhuó,tsyak,"cut, hack"
勺,tewk,zhuó,tsyak,ladle (v.)
酌,tewk,zhuó,tsyak,pour; deliberate (v.)
滋,tsə,zī,tsi,abundant
咨,tsij,zī,tsij,consult; plan (v.)
粢,tsij,zī,tsij,Setaria italica
資,tsij,zī,tsij,"property, means of living"
諮,tsij,zī,tsij,"consult, plan"
齍,tsij,zī,tsij,sacrificial grain
緇,tsrə,zī,tsri,black
子,tsəʔ,zǐ,tsiX,1st earthly branch
梓,tsəʔ,zǐ,tsiX,Catalpa
子,tsəʔ,zǐ,tsiX,"child; gentleman, master"
姊,tsijʔ,zǐ,tsijX,older sister
秭,tsijʔ,zǐ,tsijX,a high number
訾,s-N-tsej,zǐ,zje,fault
字,mə.dzəʔ-s,zì,dziH,"breed, love (v.); character"
自,s.bits,zì,dzijH,self (adv.)
自,s.bits,zì,dzijH,to follow; from
柴,C.dzˤrej,zì,dzrea,firewood
恣,tsits,zì,tsijH,"unrestrained, license"
從,tsoŋ,zōng,tsjowng,longitudinal
宗,tsˤuŋ,zōng,tsowng,ancestral temple
緵,tsˤoŋ,zōng,tsuwng,bundle of threads
稯,tsˤoŋ,zōng,tsuwng,bundle of threads
豵,tsˤoŋ,zōng,tsuwng,pig a half or one year old
總,tsˤoŋ,zōng,tsuwng,bundle of threads
緫,tsˤoŋ,zōng,tsuwng,bundle of threads
揔,tsˤoŋ,zōng,tsuwng,bundle of threads
總,tsˤoŋ,zǒng,tsuwngX,bind together
緫,tsˤoŋʔ,zǒng,tsuwngX,bind together
揔,tsˤoŋʔ,zǒng,tsuwngX,bind together
從,dzoŋs,zòng,dzjowngH,follower
縱,tsoŋs,zòng,tsjowngH,let loose
綜,s-tˤuŋs,zòng,tsowngH,collect (v.)
諏,tso,zōu,tsju,inquire
掫,tso,zōu,tsju,beat night watches
騶,tsˤro,zōu,tsrjuw,groom
掫,tsˤro,zōu,tsrjuw,beat night watches
掫,tsˤroʔ,zōu,tsrjuwX,beat night watches
走,tsˤoʔ,zǒu,tsuwX,run
奏,tsˤoʔ-s,zòu,tsuwH,bring forward; perform (music)
族,dzˤok,zú,dzuwk,clan
足,tsok,zú,tsjowk,sufficient
足,tsok,zú,tsjowk,foot
鏃,tsˤok,zú,tsuwk,arrowhead
卒,tsut,zú,tswit,"finish, die"
卒,tsˤut,zú,tswot,soldier
阻,tsraʔ,zǔ,tsrjoX,filled with obstacles
祖,tsˤaʔ,zǔ,tsuX,ancestor
鑽,tsˤor,zuān,tswan,"perforate, penetrate"
纂,tsˤonʔ,zuǎn,tswanX,silk band
䘒,tsˤur,zuī,tswoj,genitalia of a baby
朘,tsˤur,zuī,tswoj,genitalia of a baby
觜,tsojʔ,zuǐ,tsjweX,beak
罪,dzˤujʔ,zuì,dzwojX,"crime, offense"
最,tsˤots,zuì,tswajH,collect; most
醉,Cə.tsuts,zuì,tswijH,drunk (adj.)
遵,tsun,zūn,tswin,follow (a road)
尊,tsˤun,zūn,tswon,honor (v.)
尊,tsˤun,zūn,tswon,wine-cup
樽,tsˤun,zūn,tswon,wine-cup
昨,dzˤak,zuó,dzak,yesterday
左,tsˤajʔ,zuǒ,tsaX,left (side)
左,tsˤajʔ,zuǒ,tsaX,assist
左,tsˤarʔ-s,zuǒ,tsaH,assist
佐,tsˤarʔ-s,zuǒ,tsaH,"aid, assist"
胙,dzˤaks,zuò,dzuH,sacrificial meat and wine
坐,dzˤojʔ,zuò,dzwaX,sit
坐,m-dzˤojʔ,zuò,dzwaX,to set
座,dzˤojʔ-s,zuò,dzwaH,seat n.
坐,dzˤojʔ-s,zuò,dzwaH,seat n.
作,tsˤak,zuò,tsak,"do, work"
糳,tsˤawk,zuò,tsak,fine and pure rice
作,tsˤaks,zuò,tsuH,"do, work"
